Date Time, pm2.5 sensor is On, Temperature, Humidity, tVOC, CO2e, CPU Frequency, CPU usage, Light, Charging, Electricity, Capacity, Wi-Fi Status
2017-04-26-23-03-07, Off, 0.00, 0, 0, 0, 1.008G, 0, 34, Charging, 2.88993e+29, 100, On
2017-04-26-23-03-08, Off, 0.00, 0, 0, 0, 1.008G, 0, 34, Charging, 2.88993e+29, 100, On
2017-04-26-23-03-09, Off, 28.00, 32, 0.004, 480, 1.008G, 0, 34, Charging, 2.88993e+29, 100, On
2017-04-26-23-03-10, Off, 28.00, 32, 0, 510, 1.008G, 0, 34, Charging, 2.88993e+29, 100, On
2017-04-26-23-03-11, Off, 27.00, 32, 0, 630, 1.008G, 0, 34, Charging, 2.88993e+29, 100, On
2017-04-26-23-03-12, Off, 27.00, 32, 0, 800, 1.008G, 0, 34, Charging, 2.88993e+29, 100, On
2017-04-26-23-03-13, Off, 27.00, 32, 0, 740, 1.008G, 0, 34, Charging, 2.88993e+29, 100, On
2017-04-26-23-03-14, Off, 27.00, 32, 0, 720, 1.008G, 0, 34, Charging, 2.88993e+29, 100, On
2017-04-26-23-03-15, Off, 26.00, 33, 0, 830, 1.008G, 0, 34, Charging, 2.88993e+29, 100, On
2017-04-26-23-03-16, Off, 26.00, 34, 0, 850, 1.008G, 0, 34, Charging, 2.88993e+29, 100, On
2017-04-26-23-03-17, Off, 26.00, 35, 0, 890, 1.008G, 0, 34, Charging, 2.88993e+29, 100, On
2017-04-26-23-03-18, Off, 26.00, 35, 0, 980, 1.008G, 0, 34, Charging, 2.88993e+29, 100, On
2017-04-26-23-03-19, Off, 27.00, 35, 0, 1204, 1.008G, 0, 34, Charging, 2.88993e+29, 100, On
2017-04-26-23-03-20, Off, 27.00, 35, 0, 1474, 1.008G, 0, 34, Charging, 2.88993e+29, 100, On
2017-04-26-23-03-21, Off, 26.00, 35, 0, 1567, 1.008G, 0, 34, Charging, 2.88993e+29, 100, On
2017-04-26-23-03-22, Off, 26.00, 35, 0, 1890, 1.008G, 0, 34, Charging, 2.88993e+29, 100, On
2017-04-26-23-03-23, Off, 26.00, 37, 0, 1940, 1.008G, 0, 34, Charging, 2.88993e+29, 100, On
2017-04-26-23-03-24, Off, 26.00, 37, 0, 2032, 1.008G, 0, 34, Charging, 2.88993e+29, 100, On
2017-04-26-23-03-25, Off, 26.00, 37, 0, 2135, 1.008G, 0, 34, Charging, 2.88993e+29, 100, On
2017-04-26-23-03-26, Off, 25.00, 37, 0, 2303, 1.008G, 0, 34, Charging, 2.88993e+29, 100, On
2017-04-26-23-03-27, Off, 25.00, 37, 0.001, 2568, 1.008G, 0, 34, Charging, 2.88993e+29, 100, On
2017-04-26-23-03-28, Off, 25.00, 37, 0.001, 2734, 1.008G, 0, 34, Charging, 2.88993e+29, 100, On
2017-04-26-23-03-29, Off, 25.00, 37, 0.001, 2746, 1.008G, 0, 34, Charging, 2.88993e+29, 100, On
2017-04-26-23-03-30, Off, 25.00, 38, 0, 2849, 1.008G, 0, 34, Charging, 2.88993e+29, 100, On
2017-04-26-23-03-31, Off, 25.00, 38, 0, 3054, 1.008G, 0, 34, Charging, 2.88993e+29, 100, On
2017-04-26-23-03-32, Off, 25.00, 38, 0, 3062, 1.008G, 0, 34, Charging, 2.88993e+29, 100, On
2017-04-26-23-03-33, Off, 25.00, 38, 0, 3103, 1.008G, 0, 34, Charging, 2.88993e+29, 100, On
2017-04-26-23-03-34, Off, 24.00, 38, 0, 3248, 1.008G, 0, 34, Charging, 2.88993e+29, 100, On
2017-04-26-23-03-35, Off, 24.00, 39, 0, 3362, 1.008G, 0, 34, Charging, 2.88993e+29, 100, On
2017-04-26-23-03-36, Off, 25.00, 39, 0, 3443, 1.008G, 0, 34, Charging, 2.88993e+29, 100, On
2017-04-26-23-03-37, Off, 25.00, 39, 0, 3456, 1.008G, 0, 34, Charging, 2.88993e+29, 100, On
2017-04-26-23-03-38, Off, 25.00, 40, 0, 3561, 1.008G, 0, 34, Charging, 2.88993e+29, 100, On
2017-04-26-23-03-39, Off, 25.00, 40, 0, 3543, 1.008G, 0, 34, Charging, 2.88993e+29, 100, On
2017-04-26-23-03-40, Off, 25.00, 40, 0, 3633, 1.008G, 0, 34, Charging, 2.88993e+29, 100, On
2017-04-26-23-03-41, Off, 25.00, 41, 0, 3655, 1.008G, 0, 34, Charging, 2.88993e+29, 100, On
2017-04-26-23-03-42, Off, 26.00, 42, 0, 3734, 1.008G, 0, 34, Charging, 2.88993e+29, 100, On
2017-04-26-23-03-43, Off, 26.00, 43, 0, 3890, 1.008G, 0, 34, Charging, 2.88993e+29, 100, On
2017-04-26-23-03-44, Off, 26.00, 43, 0, 3976, 1.008G, 6.7, 34, Charging, 2.88993e+29, 100, On
2017-04-26-23-03-45, Off, 26.00, 45, 0, 4080, 1.008G, 0, 34, Charging, 2.88993e+29, 100, On
2017-04-26-23-03-46, Off, 26.00, 47, 0, 4090, 1.008G, 0, 34, Charging, 2.88993e+29, 100, On
2017-04-26-23-03-47, Off, 26.00, 49, 0, 4077, 1.008G, 0, 34, Charging, 2.88993e+29, 100, On
2017-04-26-23-03-48, Off, 26.00, 52, 0, 4123, 1.008G, 0, 34, Charging, 2.88993e+29, 100, On
2017-04-26-23-03-49, Off, 27.00, 55, 0, 4135, 1.008G, 0, 34, Charging, 2.88993e+29, 100, On
2017-04-26-23-03-50, Off, 27.00, 55, 0, 4088, 1.008G, 0, 34, Charging, 2.88993e+29, 100, On
2017-04-26-23-03-51, Off, 27.00, 58, 0, 4087, 1.008G, 0, 34, Charging, 2.88993e+29, 100, On
2017-04-26-23-03-52, Off, 27.00, 60, 0, 3935, 1.008G, 0, 34, Charging, 2.88993e+29, 100, On
